#,A,10,9,8,7,6,5,4,3,2
BJ,S,S,S,S,S,S,S,S,S,S
H21,S,S,S,S,S,S,S,S,S,S
H20,S,S,S,S,S,S,S,S,S,S
H19,S,S,S,S,S,S,S,S,S,S
H18,S,S,S,S,S,S,S,S,S,S
H17,S,S,S,S,S,S,S,S,S,S
H16,H,H,H,H,H,S,S,S,S,S
H15,H,H,H,H,H,S,S,S,S,S
H14,H,H,H,H,H,S,S,S,S,S
H13,H,H,H,H,H,S,S,S,S,S
H12,H,H,H,H,H,S,S,S,H,H
H11,H,H,H,H,H,H,H,H,H,H
H10,H,H,H,H,H,H,H,H,H,H
H9,H,H,H,H,H,H,H,H,H,H
H8,H,H,H,H,H,H,H,H,H,H
H7,H,H,H,H,H,H,H,H,H,H
H6,H,H,H,H,H,H,H,H,H,H
H5,H,H,H,H,H,H,H,H,H,H
H4,H,H,H,H,H,H,H,H,H,H
S21,S,S,S,S,S,S,S,S,S,S
S20,S,S,S,S,S,S,S,S,S,S
S19,S,S,S,S,S,S,S,S,S,S
S18,H,H,H,S,S,S,S,S,S,S
S17,H,H,H,H,H,H,H,H,H,H
S16,H,H,H,H,H,H,H,H,H,H
S15,H,H,H,H,H,H,H,H,H,H
S14,H,H,H,H,H,H,H,H,H,H
S13,H,H,H,H,H,H,H,H,H,H
